id,indicator_code,spatial_dim_type,spatial_dim,time_dim_type,parent_location_code,parent_location,time_dim,numeric_value,low,high,date,time_dimension_value,time_dimension_begin,time_dimension_end
5395872,MDG_0000000026,COUNTRY,SVK,YEAR,EUR,Europe,2007,6.421853928,4.863213509,8.390841206,2025-04-07 06:46:44.380000+02:00,2007,2007-01-01 00:00:00+01:00,2007-12-31 00:00:00+01:00
5395976,MDG_0000000026,COUNTRY,COD,YEAR,AFR,Africa,2011,589.2709777,451.9367663,791.0053145,2025-04-10 15:44:11.957000+02:00,2011,2011-01-01 00:00:00+01:00,2011-12-31 00:00:00+01:00
3993,MDG_0000000026,COUNTRY,CPV,YEAR,AFR,Africa,2009,62.24380697,41.63392897,89.71257166,2025-04-10 15:44:11.957000+02:00,2009,2009-01-01 00:00:00+01:00,2009-12-31 00:00:00+01:00
4791,MDG_0000000026,COUNTRY,HUN,YEAR,EUR,Europe,1992,23.58029147,19.82089288,28.11262983,2025-04-10 15:44:11.957000+02:00,1992,1992-01-01 00:00:00+01:00,1992-12-31 00:00:00+01:00
6015,MDG_0000000026,COUNTRY,CYP,YEAR,EUR,Europe,1993,14.68275893,9.094647517,23.54991573,2025-04-10 15:44:11.957000+02:00,1993,1993-01-01 00:00:00+01:00,1993-12-31 00:00:00+01:00
6600,MDG_0000000026,COUNTRY,PRK,YEAR,SEAR,South-East Asia,1992,36.88365459,24.11961848,58.099897,2025-04-10 15:44:11.957000+02:00,1992,1992-01-01 00:00:00+01:00,1992-12-31 00:00:00+01:00
7118,MDG_0000000026,COUNTRY,ISL,YEAR,EUR,Europe,2005,5.092579658,2.887050121,7.868259327,2025-04-07 06:46:44.380000+02:00,2005,2005-01-01 00:00:00+01:00,2005-12-31 00:00:00+01:00
7436,MDG_0000000026,COUNTRY,NLD,YEAR,EUR,Europe,1995,12.33192423,11.07072035,13.57434099,2025-04-10 15:44:11.957000+02:00,1995,1995-01-01 00:00:00+01:00,1995-12-31 00:00:00+01:00
7541,MDG_0000000026,COUNTRY,DNK,YEAR,EUR,Europe,2023,3.665751498,2.673097998,4.746442268,2025-04-07 06:46:44.380000+02:00,2023,2023-01-01 00:00:00+01:00,2023-12-31 00:00:00+01:00
8954,MDG_0000000026,COUNTRY,CIV,YEAR,AFR,Africa,1998,379.6383265,304.5705795,477.8939141,2025-04-10 15:44:11.957000+02:00,1998,1998-01-01 00:00:00+01:00,1998-12-31 00:00:00+01:00
10199,MDG_0000000026,COUNTRY,NLD,YEAR,EUR,Europe,2006,9.015369264,8.166980257,9.960520051,2025-04-07 06:46:44.380000+02:00,2006,2006-01-01 00:00:00+01:00,2006-12-31 00:00:00+01:00
11605,MDG_0000000026,COUNTRY,DMA,YEAR,AMR,Americas,2005,53.83392907,36.87055014,75.18272193,2025-04-10 15:44:11.957000+02:00,2005,2005-01-01 00:00:00+01:00,2005-12-31 00:00:00+01:00
12567,MDG_0000000026,COUNTRY,MDG,YEAR,AFR,Africa,2011,491.5464069,394.8867883,609.2493891,2025-04-10 15:44:11.957000+02:00,2011,2011-01-01 00:00:00+01:00,2011-12-31 00:00:00+01:00
14503,MDG_0000000026,COUNTRY,UKR,YEAR,EUR,Europe,2020,17.97056898,12.82968259,25.89454371,2025-04-10 15:44:11.957000+02:00,2020,2020-01-01 00:00:00+01:00,2020-12-31 00:00:00+01:00
15753,MDG_0000000026,COUNTRY,CAN,YEAR,AMR,Americas,2010,11.38250298,9.465779226,13.75223327,2025-04-10 15:44:11.957000+02:00,2010,2010-01-01 00:00:00+01:00,2010-12-31 00:00:00+01:00
16529,MDG_0000000026,COUNTRY,HND,YEAR,AMR,Americas,1995,108.9855437,100.4114213,116.9720352,2025-04-10 15:44:11.957000+02:00,1995,1995-01-01 00:00:00+01:00,1995-12-31 00:00:00+01:00
16827,MDG_0000000026,COUNTRY,HTI,YEAR,AMR,Americas,1989,899.6303606,633.9117481,1253.771826,2025-04-10 15:44:11.957000+02:00,1989,1989-01-01 00:00:00+01:00,1989-12-31 00:00:00+01:00
17054,MDG_0000000026,COUNTRY,BLR,YEAR,EUR,Europe,2023,1.095984376,0.620868843,1.884086657,2025-04-07 06:46:44.380000+02:00,2023,2023-01-01 00:00:00+01:00,2023-12-31 00:00:00+01:00
19412,MDG_0000000026,COUNTRY,BRB,YEAR,AMR,Americas,1987,56.80339417,41.96336351,77.37211149,2025-04-10 15:44:11.957000+02:00,1987,1987-01-01 00:00:00+01:00,1987-12-31 00:00:00+01:00
20194,MDG_0000000026,COUNTRY,LAO,YEAR,WPR,Western Pacific,2007,401.926919,312.1269131,527.9368075,2025-04-10 15:44:11.957000+02:00,2007,2007-01-01 00:00:00+01:00,2007-12-31 00:00:00+01:00
23132,MDG_0000000026,COUNTRY,UZB,YEAR,EUR,Europe,2020,28.69185173,21.51255809,39.04656564,2025-04-10 15:44:11.957000+02:00,2020,2020-01-01 00:00:00+01:00,2020-12-31 00:00:00+01:00
24383,MDG_0000000026,COUNTRY,BLR,YEAR,EUR,Europe,2014,1.634857177,1.278512689,2.091028851,2025-04-07 06:46:44.380000+02:00,2014,2014-01-01 00:00:00+01:00,2014-12-31 00:00:00+01:00
24495,MDG_0000000026,COUNTRY,CHN,YEAR,WPR,Western Pacific,1995,71.0436175,57.95239747,88.37229585,2025-04-10 15:44:11.957000+02:00,1995,1995-01-01 00:00:00+01:00,1995-12-31 00:00:00+01:00
24609,MDG_0000000026,COUNTRY,ISR,YEAR,EUR,Europe,1990,28.54714904,21.97314786,37.44953834,2025-04-10 15:44:11.957000+02:00,1990,1990-01-01 00:00:00+01:00,1990-12-31 00:00:00+01:00
24851,MDG_0000000026,COUNTRY,LAO,YEAR,WPR,Western Pacific,1987,930.4416338,645.0584399,1313.561442,2025-04-10 15:44:11.957000+02:00,1987,1987-01-01 00:00:00+01:00,1987-12-31 00:00:00+01:00
24952,MDG_0000000026,COUNTRY,PNG,YEAR,WPR,Western Pacific,2013,243.2143627,171.919976,352.2881247,2025-04-10 15:44:11.957000+02:00,2013,2013-01-01 00:00:00+01:00,2013-12-31 00:00:00+01:00
33364,MDG_0000000026,COUNTRY,MUS,YEAR,AFR,Africa,2005,43.28130984,34.05020129,53.9941907,2025-04-10 15:44:11.957000+02:00,2005,2005-01-01 00:00:00+01:00,2005-12-31 00:00:00+01:00
34773,MDG_0000000026,COUNTRY,BFA,YEAR,AFR,Africa,2014,344.1514555,249.6127343,465.5970396,2025-04-10 15:44:11.957000+02:00,2014,2014-01-01 00:00:00+01:00,2014-12-31 00:00:00+01:00
37361,MDG_0000000026,COUNTRY,CYP,YEAR,EUR,Europe,1987,17.07525998,9.659499774,28.61487624,2025-04-10 15:44:11.957000+02:00,1987,1987-01-01 00:00:00+01:00,1987-12-31 00:00:00+01:00
38366,MDG_0000000026,COUNTRY,BLR,YEAR,EUR,Europe,2004,11.57721233,9.960283771,13.38349932,2025-04-10 15:44:11.957000+02:00,2004,2004-01-01 00:00:00+01:00,2004-12-31 00:00:00+01:00
40523,MDG_0000000026,COUNTRY,MUS,YEAR,AFR,Africa,1991,74.79479323,62.29092319,90.35837384,2025-04-10 15:44:11.957000+02:00,1991,1991-01-01 00:00:00+01:00,1991-12-31 00:00:00+01:00
43245,MDG_0000000026,COUNTRY,CPV,YEAR,AFR,Africa,2018,42.75494831,26.11549203,66.71651909,2025-04-10 15:44:11.957000+02:00,2018,2018-01-01 00:00:00+01:00,2018-12-31 00:00:00+01:00
